Book,Chapter,Verse,Text
2JN,1,1,"ए चिठ्ठी आऊँ यूहन्ना अगबें थमां परमेसर थमां चुनी दी मोद्दवर विश्वासी पैंन ते ओदे बच्चें दै नां लिखै करना ऐं,जिंदे कन्नें आऊँ सच्चा प्रेम करना ऐं,ते सेर्फ आऊँ गै नेई,लेकन ओ सारे प्रेम करदे न,जेड़े परमेसर दी सच्चाई गी जानदे न। "
2JN,1,2,"8ओ सच्च जेड़ा साडे च टीके दा रौंदा ऐ, ते मेशा साडे कन्नें अटल रौग; "
2JN,1,3,"पिता परमेसर दे पुत्र यीशु मसीह थमां क्रपा, दया ते शान्ति साडे कन्नें सचाई समेत एर्ख रौगन। "
2JN,1,4,"आऊँ बड़ा खोश ओया,के मै तेरे केछ बच्चें गी ओस उक्म दे मताबक,जेड़ा असेंगी पिता थमां मिलया हा,ओस परमेसर दी सच्चाई उपर चलदे दिखया। "
2JN,1,5,"ऊन ए मोद्दवर विश्वासी पैंन, आऊँ तुगी कोई नमां उक्म नेई, लेकन उवै जेड़ा शुरू थमां साडे कोल ऐ,दिनां ऐं; ते तेरे अगें अर्ज करना ऐं, के अस एक दुए कन्नें प्रेम करचै। "
2JN,1,6,"ते प्रेम ए ऐ के अस ओदे उकमें दै मताबक चलचे; ए उवै उक्म ऐ जेड़ा तुसें शुरू थमां सुना ऐ, ते तुसेंगी एदे उपर चलना बी चाईदा ऐ। "
2JN,1,7,"किके मते सारे ऐसे परमाने आले दुनिया च निकलि आए दे न, जेडे नेई मनदे के यीशु मसीह जेंद च ओईयै आया; परमाने आला ते मसीह वरोधी ईयै गै। "
2JN,1,8,"अपने बारै च चकने रवो, के जेड़ी मेंनत असें सारें कित्ती दी ऐ, तोस उसी गुआई नेई ओड़यो, लेकन तुसेंगी ओदा पूरा फल मिलै। "
2JN,1,9,"जेड़ा कोई मसीह दी सिखया कन्नें अपनी शिखया मलांदा ऐ, ओ मसीह दी शिखया च टिके दा नेई रौंदा, ओदे कोल परमेसर नेई; जेड़ा कोई ओदी शिखया च टिके दा रौंदा, ओदे कोल पिता परमेसर बी ऐ, ते पुत्र बी। "
2JN,1,10,"जेकर कोई थूआड़े कोल अवै, ते ए शिखया नेई दै, उसी नां ते कर च आैना दियो,ते नां गै नमश्कार करो। "
2JN,1,11,"किके जेड़ा कोई ऐसे मनुक्ख गी नमश्कार करदा ऐ, ओ ओदे बुरे कम्में लेई जिमेंवार ओंदा ऐ। "
2JN,1,12,"आऊँ ओर बी मतियाँ सारियां गल्लां दसनां चांनां,लेकन चिठ्ठी च लिखनां नेई चांदा, लेकन मिगी आस ऐ,के आऊँ थूआड़े कोल औगा ते आमने-सामने गल्लां करगा, जेस कन्नें अस पूरी चाली खोश ओई जागे। "
2JN,1,13,तेरी चुनी गेदी पैनूं दे बच्चे तुगी नमश्कार बोलदे न। 
